t,type,info,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
30.033,hid,"8,9,10,11,18,20,21,22,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,159,222,254,255,254,255,252,255,153,1,219,12,154,11,0,0
30.049,hid,"18,22,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,159,222,250,255,254,255,250,255,167,1,222,12,111,11,0,0
30.08,hid,"18,20,21,22,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,159,222,244,255,3,0,253,255,167,1,240,12,125,11,0,0
30.08,hid,"18,22,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,159,222,242,255,3,0,254,255,163,1,235,12,131,11,0,0
30.112,hid,"16,18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,252,255,7,0,1,0,136,1,222,12,140,11,0,0
30.127,hid,"18,19,22,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,0,0,7,0,0,0,153,1,227,12,132,11,0,0
30.159,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,9,0,2,0,254,255,160,1,220,12,164,11,0,0
30.174,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,12,0,3,0,0,0,158,1,243,12,134,11,0,0
30.189,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,4,0,7,0,255,255,152,1,228,12,94,11,0,0
30.205,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,1,0,11,0,2,0,156,1,241,12,106,11,0,0
30.236,hid,"18,19,20,22,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,251,255,5,0,1,0,153,1,228,12,132,11,0,0
30.252,hid,"20,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,251,255,3,0,1,0,153,1,234,12,142,11,0,0
30.267,hid,"18,19,20,22,23,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,0,0,0,0,255,255,154,1,215,12,139,11,0,0
30.299,hid,"18,20,21,22,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,3,0,254,255,251,255,160,1,230,12,126,11,0,0
30.314,hid,"18,20,21,22,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,1,0,0,0,252,255,153,1,237,12,116,11,0,0
30.33,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,3,0,4,0,251,255,147,1,219,12,135,11,0,0
30.346,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,4,0,12,0,0,48,0,0,157,222,4,0,5,0,254,255,149,1,238,12,128,11,0,0
