t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
5.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.181
5.491,0.0,0.0021,0.0,0.0,0.0,0.0323,0.0,0.00581,0,14,1.921
5.51,0.00261,0.00254,0.0,0.0,0.0709,0.0563,0.00638,0.00572,21,20,2.547
5.531,0.00243,0.00212,0.0,0.0,0.0469,0.0386,0.0066,0.00603,25,23,3.077
5.552,0.00444,0.00349,0.0,0.0,0.0261,0.0448,0.0097,0.00762,45,36,3.526
5.571,0.00333,0.00356,0.0,0.0,0.0428,0.0271,0.00859,0.00917,43,45,3.906
5.591,0.00329,0.00371,0.0,0.0,0.0292,0.0282,0.00741,0.00848,43,48,4.227
5.612,0.00269,0.00231,0.0,0.0,0.0219,0.0261,0.00707,0.00621,41,38,4.499
5.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,4.362
5.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4.23
5.674,0.00431,0.00444,0.0,0.0,0.0428,0.0365,0.00952,0.0099,56,57,4.502
5.691,0.00369,0.00407,0.0,0.0,0.0282,0.0344,0.00872,0.00958,55,60,4.732
5.711,0.00487,0.00532,0.153,0.159,0.0198,0.0302,0.01166,0.01257,165,174,4.797
5.731,0.00606,0.00605,0.2,0.113,0.0156,0.0136,0.01431,0.01444,208,161,4.779
5.752,0.00726,0.00724,0.244,0.219,0.025,0.0104,0.01746,0.01727,234,224,4.733
5.771,0.006,0.00585,0.0,0.0,0.0323,0.0261,0.01325,0.01314,114,111,4.927
5.791,0.00797,0.00846,0.426,0.515,0.0115,0.0073,0.02034,0.02159,232,232,4.817
5.813,0.0089,0.00887,0.244,0.0,0.0167,0.0146,0.02038,0.02034,237,141,4.762
5.831,0.00411,0.00381,0.0,0.0,0.0407,0.0469,0.01123,0.01024,100,78,4.952
5.851,0.0038,0.00367,0.0,0.0,0.0229,0.0313,0.00781,0.0075,64,59,5.113
5.872,0.00333,0.00332,0.0,0.0,0.0553,0.0407,0.00813,0.00784,57,55,5.249
5.891,0.00429,0.00417,0.0,0.0,0.0209,0.0355,0.01103,0.01078,74,72,5.364
5.911,0.00356,0.00388,0.0,0.0,0.0344,0.0448,0.00735,0.00863,60,65,5.462
5.932,0.00546,0.00498,0.268,0.136,0.0219,0.0323,0.01338,0.0123,200,176,5.392
5.951,0.00427,0.004,0.0,0.0,0.024,0.0282,0.01179,0.01109,107,93,5.485
5.971,0.00508,0.00536,0.0,0.178,0.0323,0.0271,0.01251,0.01291,90,210,5.459
5.991,0.00574,0.00571,0.0,0.0,0.0313,0.0313,0.01183,0.01203,90,113,5.542
6.011,0.00238,0.00232,0.0,0.0,0.049,0.0678,0.00688,0.00681,55,59,5.612
6.032,0.00495,0.00516,0.296,0.297,0.0219,0.024,0.01093,0.0111,195,199,5.531
6.051,0.00547,0.00567,0.0,0.0,0.0282,0.0574,0.01179,0.01263,115,119,5.603
6.071,0.0056,0.00587,0.0,0.0,0.025,0.0375,0.01055,0.01087,91,94,5.664
6.091,0.00286,0.00332,0.0,0.0,0.0459,0.0594,0.00907,0.01023,67,74,5.715
6.111,0.00221,0.00204,0.0,0.0,0.0542,0.0647,0.00541,0.00503,46,45,5.759
6.132,0.00346,0.00338,0.0,0.0,0.0386,0.0448,0.0091,0.00875,66,64,5.796
6.15,0.00306,0.0028,0.0,0.0,0.0271,0.0334,0.00748,0.00701,59,55,5.827
6.171,0.00247,0.00282,0.0,0.0,0.0417,0.0511,0.00574,0.00651,48,52,5.854
6.192,0.00469,0.00511,0.25,0.256,0.0177,0.0292,0.0111,0.01206,188,192,5.777
6.211,0.00495,0.00521,0.0,0.0,0.0323,0.0407,0.01052,0.01137,111,115,5.811
6.231,0.00296,0.003,0.0,0.0,0.0386,0.0553,0.0041,0.00425,55,57,5.84
6.251,0.00356,0.00334,0.0,0.0,0.0365,0.0428,0.00721,0.00671,60,56,5.864
6.271,0.00368,0.00339,0.0,0.0,0.0323,0.0417,0.0086,0.00779,67,61,5.885
6.291,0.00454,0.00451,0.0,0.0,0.024,0.0302,0.01006,0.00998,79,78,5.903
