t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
5.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.029
5.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.028
5.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.027
5.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.026
5.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.025
5.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.024
5.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.023
5.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.022
5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.021
5.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.02
5.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.019
5.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.019
5.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.018
6.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.017
6.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.016
6.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.016
6.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.015
6.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.015
6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.014
6.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.014
6.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.013
6.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.012
6.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.012
6.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.012
6.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.011
6.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.011
6.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.01
6.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.01
6.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.009
6.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.009
6.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.009
6.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.008
6.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.008
6.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.008
6.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.007
6.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.007
6.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.007
6.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.007
6.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.006
6.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.006
6.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.006
6.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.006
6.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.005
